case_id,Fnh3,Fco2,Ft_UREA-OUT,QB3,QB6,QB27,QB10_hot,QB10_cold,QB7_reb,QB7_cond,QB25_reb,QB28_reb,QB28_cond,QR01,Wurea,run_ok,error_message,elapsed_sec,completed_at
62,2.583333333333333,138.04166666666669,11.2842126,-0.0024123446,0.000589705179,-0.0117577749,1.0,1.0,0.00264615411,-0.00930012335,0.0119422948,0.0424135857,0.0451696667,-0.009864375,0.112315255,1,,2.878,2026-04-14T15:17:24
63,2.583333333333333,150.5,11.2435614,-0.0024103069,0.000589705179,-0.010805014,1.0,1.0,0.002879549,-0.0101531753,0.0119422948,0.0422479055,0.0449932489,-0.00979904977,0.112716995,1,,3.098,2026-04-14T15:17:27
64,2.583333333333333,162.95833333333334,11.2014925,-0.00240666046,0.000589705179,-0.00986738772,1.0,1.0,0.00311178699,-0.0110063894,0.0119422948,0.042082181,0.0448167724,-0.00972297,0.112956381,1,,2.865,2026-04-14T15:17:30
65,2.583333333333333,175.41666666666669,11.1581596,-0.00240209337,0.000589705179,-0.00894165667,1.0,1.0,0.00334324294,-0.0118597758,0.0119422948,0.0419144121,0.0446381126,-0.00963835954,0.113112651,1,,3.053,2026-04-14T15:17:33
66,2.583333333333333,187.875,11.1145918,-0.00239766234,0.000589705179,-0.00803963075,1.0,1.0,0.00357443236,-0.012712794,0.0119422948,0.0417449462,0.0444576475,-0.00955030359,0.113295806,1,,3.565,2026-04-14T15:17:36
67,2.583333333333333,200.33333333333334,11.0742347,-0.00239509459,0.000589705179,-0.00708930249,1.0,1.0,0.00380613626,-0.0135651396,0.0119422948,0.0415823443,0.0442845038,-0.00946562384,0.113644828,1,,3.422,2026-04-14T15:17:40
68,2.583333333333333,212.79166666666669,11.033517,-0.00239229124,0.000589705179,-0.0061606037,1.0,1.0,0.00403694019,-0.0144193143,0.0119422948,0.0414189184,0.0441104817,-0.00937839798,0.113979559,1,,2.904,2026-04-14T15:17:43
69,2.583333333333333,225.25,10.9913008,-0.00238832348,0.000589705179,-0.00524344287,1.0,1.0,0.00428224037,-0.0152725024,0.0119422948,0.0412533847,0.0439342069,-0.00928230242,0.114204634,1,,2.839,2026-04-14T15:17:45
70,2.583333333333333,237.70833333333334,10.9496988,-0.002384807,0.000589705179,-0.00432683352,1.0,1.0,0.00449669956,-0.0161257145,0.0119422948,0.0410886723,0.0437588102,-0.00918529955,0.114478923,1,,2.838,2026-04-14T15:17:48
71,2.583333333333333,250.16666666666669,10.9081074,-0.0023812717,0.000589705179,-0.00341314162,1.0,1.0,0.0047259138,-0.0169788541,0.0119422948,0.0409239891,0.0435834447,-0.00908525411,0.114755667,1,,2.872,2026-04-14T15:17:51
72,2.583333333333333,262.625,10.866797,-0.00237817873,0.000589705179,-0.00249633868,1.0,1.0,0.00495582029,-0.017832518,0.0119422948,0.0407586661,0.0434074016,-0.00898522431,0.115089148,1,,2.7,2026-04-14T15:17:54
73,2.583333333333333,275.08333333333337,10.8256907,-0.00237480958,0.000589705179,-0.00158837183,1.0,1.0,0.00518432909,-0.0186848185,0.0119422948,0.0405952671,0.0432334051,-0.00888052764,0.115387652,1,,2.885,2026-04-14T15:17:57
74,2.583333333333333,287.5416666666667,10.7838646,-0.002370648,0.000589705179,-0.00068446173,1.0,1.0,0.0054121948,-0.0195386067,0.0119422948,0.0404317566,0.0430592839,-0.0087711536,0.115604351,1,,2.868,2026-04-14T15:18:00
75,2.583333333333333,300.0,10.7420031,-0.00236704476,0.000589705179,0.000223944129,1.0,1.0,0.00564064836,-0.0203897479,0.0119422948,0.0402656988,0.0428824555,-0.00866199019,0.115901522,1,,2.842,2026-04-14T15:18:02
76,3.375,1.0,10.3069486,-0.00651777894,0.000770421282,-0.0105576128,1.0,1.0,0.000439199445,-0.000462360354,0.0119422948,0.041726946,0.0444353793,5.06308659e-05,0.0106433229,1,,4.841,2026-04-14T15:18:07
77,3.375,13.458333333333334,10.9741154,-0.00288133749,0.000770421282,-0.0211444415,1.0,1.0,0.00123627957,-0.00179904673,0.0119422948,0.0436936495,0.0465297577,-0.00255492701,0.0341380973,1,,4.31,2026-04-14T15:18:12
78,3.375,25.916666666666668,11.7373099,-0.00278413905,0.000770421282,-0.0191350717,1.0,1.0,0.000845938185,-0.00177542314,0.0119422948,0.0436411735,0.046478156,-0.00992381776,0.126512857,1,,5.131,2026-04-14T15:18:17
79,3.375,38.375,11.8551585,-0.0026938797,0.000770421282,-0.0182265758,1.0,1.0,0.000849257489,-0.00241379678,0.0119422948,0.0435617595,0.0463950059,-0.0115020091,0.141810914,1,,4.679,2026-04-14T15:18:21
