case_id,Fnh3,Fco2
241,7.625,31.250000000000004
242,7.625,33.333333333333336
243,7.625,35.41666666666667
244,7.625,37.5
245,7.625,39.583333333333336
246,7.625,41.66666666666667
247,7.625,43.75
248,7.625,45.833333333333336
249,7.625,47.91666666666667
250,7.625,50.0
251,7.916666666666667,0.0
252,7.916666666666667,2.0833333333333335
253,7.916666666666667,4.166666666666667
254,7.916666666666667,6.25
255,7.916666666666667,8.333333333333334
256,7.916666666666667,10.416666666666668
257,7.916666666666667,12.5
258,7.916666666666667,14.583333333333334
259,7.916666666666667,16.666666666666668
260,7.916666666666667,18.75
261,7.916666666666667,20.833333333333336
262,7.916666666666667,22.916666666666668
263,7.916666666666667,25.0
264,7.916666666666667,27.083333333333336
265,7.916666666666667,29.166666666666668
266,7.916666666666667,31.250000000000004
267,7.916666666666667,33.333333333333336
268,7.916666666666667,35.41666666666667
269,7.916666666666667,37.5
270,7.916666666666667,39.583333333333336
271,7.916666666666667,41.66666666666667
272,7.916666666666667,43.75
273,7.916666666666667,45.833333333333336
274,7.916666666666667,47.91666666666667
275,7.916666666666667,50.0
276,8.208333333333334,0.0
277,8.208333333333334,2.0833333333333335
278,8.208333333333334,4.166666666666667
279,8.208333333333334,6.25
280,8.208333333333334,8.333333333333334
281,8.208333333333334,10.416666666666668
282,8.208333333333334,12.5
283,8.208333333333334,14.583333333333334
284,8.208333333333334,16.666666666666668
285,8.208333333333334,18.75
286,8.208333333333334,20.833333333333336
287,8.208333333333334,22.916666666666668
288,8.208333333333334,25.0
289,8.208333333333334,27.083333333333336
290,8.208333333333334,29.166666666666668
291,8.208333333333334,31.250000000000004
292,8.208333333333334,33.333333333333336
293,8.208333333333334,35.41666666666667
294,8.208333333333334,37.5
295,8.208333333333334,39.583333333333336
296,8.208333333333334,41.66666666666667
297,8.208333333333334,43.75
298,8.208333333333334,45.833333333333336
299,8.208333333333334,47.91666666666667
300,8.208333333333334,50.0
301,8.5,0.0
302,8.5,2.0833333333333335
303,8.5,4.166666666666667
304,8.5,6.25
305,8.5,8.333333333333334
306,8.5,10.416666666666668
307,8.5,12.5
308,8.5,14.583333333333334
309,8.5,16.666666666666668
310,8.5,18.75
311,8.5,20.833333333333336
312,8.5,22.916666666666668
313,8.5,25.0
314,8.5,27.083333333333336
315,8.5,29.166666666666668
316,8.5,31.250000000000004
317,8.5,33.333333333333336
318,8.5,35.41666666666667
319,8.5,37.5
320,8.5,39.583333333333336
321,8.5,41.66666666666667
322,8.5,43.75
323,8.5,45.833333333333336
324,8.5,47.91666666666667
325,8.5,50.0
326,8.791666666666668,0.0
327,8.791666666666668,2.0833333333333335
328,8.791666666666668,4.166666666666667
329,8.791666666666668,6.25
330,8.791666666666668,8.333333333333334
331,8.791666666666668,10.416666666666668
332,8.791666666666668,12.5
333,8.791666666666668,14.583333333333334
334,8.791666666666668,16.666666666666668
335,8.791666666666668,18.75
336,8.791666666666668,20.833333333333336
337,8.791666666666668,22.916666666666668
338,8.791666666666668,25.0
339,8.791666666666668,27.083333333333336
340,8.791666666666668,29.166666666666668
341,8.791666666666668,31.250000000000004
342,8.791666666666668,33.333333333333336
343,8.791666666666668,35.41666666666667
344,8.791666666666668,37.5
345,8.791666666666668,39.583333333333336
346,8.791666666666668,41.66666666666667
347,8.791666666666668,43.75
348,8.791666666666668,45.833333333333336
349,8.791666666666668,47.91666666666667
350,8.791666666666668,50.0
351,9.083333333333334,0.0
352,9.083333333333334,2.0833333333333335
353,9.083333333333334,4.166666666666667
354,9.083333333333334,6.25
355,9.083333333333334,8.333333333333334
356,9.083333333333334,10.416666666666668
357,9.083333333333334,12.5
358,9.083333333333334,14.583333333333334
359,9.083333333333334,16.666666666666668
360,9.083333333333334,18.75
361,9.083333333333334,20.833333333333336
362,9.083333333333334,22.916666666666668
363,9.083333333333334,25.0
364,9.083333333333334,27.083333333333336
365,9.083333333333334,29.166666666666668
366,9.083333333333334,31.250000000000004
367,9.083333333333334,33.333333333333336
368,9.083333333333334,35.41666666666667
369,9.083333333333334,37.5
370,9.083333333333334,39.583333333333336
371,9.083333333333334,41.66666666666667
372,9.083333333333334,43.75
373,9.083333333333334,45.833333333333336
374,9.083333333333334,47.91666666666667
375,9.083333333333334,50.0
376,9.375,0.0
377,9.375,2.0833333333333335
378,9.375,4.166666666666667
379,9.375,6.25
