case_id,Ft,Fh2,NO3In_H2O_Flow,NO3In_CL_Flow,NO3In_NA_Flow,NO3In_NO3_Flow,NO3In_SO4_Flow
92,8572.5,11.666666666666668,7686.017775,457.7715,333.384525,79.295625,16.030575
93,8572.5,12.083333333333334,7686.017775,457.7715,333.384525,79.295625,16.030575
94,8572.5,12.5,7686.017775,457.7715,333.384525,79.295625,16.030575
95,8572.5,12.916666666666668,7686.017775,457.7715,333.384525,79.295625,16.030575
96,8572.5,13.333333333333334,7686.017775,457.7715,333.384525,79.295625,16.030575
97,8572.5,13.75,7686.017775,457.7715,333.384525,79.295625,16.030575
98,8572.5,14.166666666666668,7686.017775,457.7715,333.384525,79.295625,16.030575
99,8572.5,14.583333333333334,7686.017775,457.7715,333.384525,79.295625,16.030575
100,8572.5,15.0,7686.017775,457.7715,333.384525,79.295625,16.030575
101,8596.666666666666,5.0,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
102,8596.666666666666,5.416666666666667,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
103,8596.666666666666,5.833333333333333,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
104,8596.666666666666,6.25,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
105,8596.666666666666,6.666666666666667,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
106,8596.666666666666,7.083333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
107,8596.666666666666,7.5,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
108,8596.666666666666,7.916666666666667,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
109,8596.666666666666,8.333333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
110,8596.666666666666,8.75,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
111,8596.666666666666,9.166666666666668,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
112,8596.666666666666,9.583333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
113,8596.666666666666,10.0,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
114,8596.666666666666,10.416666666666668,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
115,8596.666666666666,10.833333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
116,8596.666666666666,11.25,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
117,8596.666666666666,11.666666666666668,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
118,8596.666666666666,12.083333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
119,8596.666666666666,12.5,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
120,8596.666666666666,12.916666666666668,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
121,8596.666666666666,13.333333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
122,8596.666666666666,13.75,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
123,8596.666666666666,14.166666666666668,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
124,8596.666666666666,14.583333333333334,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
125,8596.666666666666,15.0,7707.685366666666,459.062,334.32436666666666,79.51916666666666,16.075766666666667
126,8620.833333333334,5.0,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
127,8620.833333333334,5.416666666666667,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
128,8620.833333333334,5.833333333333333,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
129,8620.833333333334,6.25,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
130,8620.833333333334,6.666666666666667,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
131,8620.833333333334,7.083333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
132,8620.833333333334,7.5,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
133,8620.833333333334,7.916666666666667,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
134,8620.833333333334,8.333333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
135,8620.833333333334,8.75,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
136,8620.833333333334,9.166666666666668,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
137,8620.833333333334,9.583333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
138,8620.833333333334,10.0,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
139,8620.833333333334,10.416666666666668,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
140,8620.833333333334,10.833333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
141,8620.833333333334,11.25,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
142,8620.833333333334,11.666666666666668,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
143,8620.833333333334,12.083333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
144,8620.833333333334,12.5,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
145,8620.833333333334,12.916666666666668,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
146,8620.833333333334,13.333333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
147,8620.833333333334,13.75,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
148,8620.833333333334,14.166666666666668,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
149,8620.833333333334,14.583333333333334,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
150,8620.833333333334,15.0,7729.352958333334,460.3525000000001,335.2642083333334,79.74270833333334,16.120958333333334
151,8645.0,5.0,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
152,8645.0,5.416666666666667,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
153,8645.0,5.833333333333333,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
154,8645.0,6.25,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
155,8645.0,6.666666666666667,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
156,8645.0,7.083333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
157,8645.0,7.5,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
158,8645.0,7.916666666666667,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
159,8645.0,8.333333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
160,8645.0,8.75,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
161,8645.0,9.166666666666668,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
162,8645.0,9.583333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
163,8645.0,10.0,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
164,8645.0,10.416666666666668,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
165,8645.0,10.833333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
166,8645.0,11.25,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
167,8645.0,11.666666666666668,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
168,8645.0,12.083333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
169,8645.0,12.5,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
170,8645.0,12.916666666666668,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
171,8645.0,13.333333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
172,8645.0,13.75,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
173,8645.0,14.166666666666668,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
174,8645.0,14.583333333333334,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
175,8645.0,15.0,7751.02055,461.64300000000003,336.20405,79.96625,16.16615
176,8669.166666666666,5.0,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
177,8669.166666666666,5.416666666666667,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
178,8669.166666666666,5.833333333333333,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
179,8669.166666666666,6.25,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
180,8669.166666666666,6.666666666666667,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
181,8669.166666666666,7.083333333333334,7772.6881416666665,462.9335,337.14389166666666,80.18979166666665,16.211341666666666
