t,cf_wind,y_A_on,y_U_on,P_wind,P_grid,P_el,M_H2_prod,M_O2_prod,M_H2O_el,total_electric_load,ch_B,dis_B,I_B,hydrogen_charge_mode,ch_H,dis_H,I_H,I_C,I_NH3,Ft,Fh2,Fnh3,Fco2,F_NH3_A,F_H2O_A,F_NH3_strip,Q_S,Q_rec,Q_HU,P_HU_el,F_U,w_U,E_A,E_U,Ft_spill,Fco2_spill,ammonia_charge_mode,ch_NH3,dis_NH3,W_cap,E_cap,E_cap_incremental,B_cap,H_cap,C_cap,NH3_cap,HX_cap,K_nh3_plant_tpy,K_urea_plant_tpy,E_cap_included_in_nh3,nh3_plant_capex,urea_plant_capex,ammonia_reactor_length_m,ammonia_reactor_diameter_m,ammonia_reactor_volume_m3,urea_reactor_length_m,urea_reactor_diameter_m,urea_reactor_volume_m3,Ft_op,Fh2_op,Fnh3_op,Fco2_op,F_NH3_A_op,F_H2O_A_op,E_A_op,F_U_op,w_U_op,E_U_op
96,0.506436,1.0,1,936.1372879883432,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,143.4144241453376,3061.4831746152145,0.0,0.0,0.0,9.750921077624056,0.0,174.11807912646856,8782.261557878492,9.610776124023433,9.85894800101479,50.0,12.131584940892113,2302.786376953125,12.131584940892113,86.13425308033399,86.13425307833784,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939877355,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
97,0.5150560000000001,1.0,1,952.0711936002263,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,127.4805185334487,2927.293155106321,0.0,0.0,0.0,9.750921077624064,0.0,176.3793528813444,8782.261557878492,9.610776124023433,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596131,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
98,0.526399,1.0,1,973.0385127830087,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,106.51319935066198,2815.173997895098,0.0,0.0,0.0,9.75092107762407,0.0,178.64062663622752,8782.261557878492,9.610776124023433,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596143,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
99,0.508755,1.0,1,940.4239152637441,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,139.1277968699266,2668.7236854004386,0.0,0.0,0.0,9.750921077624078,0.0,180.90190039111067,8782.261557878492,9.610776124023433,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596143,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
100,0.4719379999999999,1.0,1,872.3683928840813,0.0,282.7555245796253,5.542008281760655,44.33606625408524,49.8780745358459,872.3683928840813,0.0,0.0,2668.7236854004386,0.0,0.0,4.068767842262778,5.599117156947774,0.0,183.16317414599382,8782.261557878492,9.610776124023433,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596143,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
101,0.432259,1.0,1,799.022518084325,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,280.5291940493456,2373.429796927443,0.0,0.0,0.0,5.599117156947782,0.0,185.42444790088436,8782.261557878492,9.610776124023433,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596143,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
102,0.3873999999999999,1.0,1,716.1015120700031,0.0,210.38986276605152,4.12364131021461,32.98913048171688,37.112771791931486,800.1445677676622,0.0,84.04305569765914,2284.9634225088544,0.0,0.0,5.487134813808825,0.0,0.0,187.68572165577527,8782.261557878492,9.610776124023435,9.85894800101479,50.0,12.131584940610947,2302.786376953125,12.131584940610947,86.13425307833772,86.13425307833772,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.27263693959615,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
103,0.324,1.0,1,598.9078211426976,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,480.6438909909732,1779.0224846236197,0.0,0.0,0.0,0.0,0.0,189.94699541067328,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596143,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
104,0.218768,-0.0,1,404.38847597452366,0.0,232.29332878065878,4.552949244100912,36.423593952807295,40.97654319690821,404.38847597452366,0.0,0.0,1779.0224846236197,1.0,4.552949244100912,0.0,4.461890259218894,0.0,180.0385049573921,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051367,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
105,0.121616,-0.0,1,224.80485671632812,0.0,59.48384142673698,1.1658832919640447,9.327066335712358,10.492949627676403,224.80485671632812,0.0,0.0,1779.0224846236197,1.0,1.1658832919640447,0.0,5.604455885343658,0.0,170.1300145041044,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051367,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.858948001014797,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
106,0.055934,0.0,1,103.39293230801125,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,672.5565215671509,0.0,569.1635892591398,1179.9029169824198,1.0,9.610776124023445,0.0,15.023016486886634,0.0,160.2215240508232,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051367,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
107,0.052838,-0.0,1,97.6700353504255,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,65.31921335523755,1111.1458502926962,1.0,0.0,0.0,15.023016486886634,0.0,150.31303359754202,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051367,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.858948001014797,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
108,0.11756,0.0,1,217.30741806646768,0.0,362.6455809190368,7.1078533860131206,56.862827088104964,63.97068047411808,539.850536396726,0.0,322.5431183302584,771.6267783661084,1.0,7.1078533860131206,0.0,21.988712805179492,0.0,140.4045431443229,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051367,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
109,0.261714,1.0,1,483.77333797080234,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336707,0.0,595.7783741628682,144.49164766835247,0.0,0.0,0.0,21.988712805179492,0.0,142.66581689922106,8782.261557878492,9.610776124023435,9.85894800101479,50.0,12.131584940610944,2302.786376953125,12.131584940610944,86.1342530783377,86.1342530783377,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596143,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
110,0.455983,1.0,1,842.8758796546626,0.0,390.74172959697273,7.658537900100665,61.26830320080532,68.92684110090599,980.1429449395974,0.0,137.26706528493486,0.0,-0.0,0.0,1.9522382239227731,19.996632984850137,0.0,144.92709065411924,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,12.131584940610962,86.13425307833782,86.13425307833782,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456944,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596172,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
111,0.6050399999999999,1.0,1,1118.404901556104,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1079.5517121336734,0.0,0.0,0.0,0.0,0.0,0.0,19.996632984850137,0.0,147.18836440901742,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,12.131584940610962,86.13425307833782,86.13425307833782,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456944,161.98924870566304,297.73844212150834,150.0,1.0,2.272636939596172,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
112,0.6698959999999999,1.0,1,1238.289980716693,0.0,490.34572061344085,9.61077612402344,76.88620899218752,86.49698511621096,1165.6859652120083,0.0,0.0,0.0,0.0,0.0,0.0,19.996632984850145,0.0,149.4496381639155,8782.261557878492,9.610776124023435,9.85894800101479,50.0,12.131584940610947,2302.786376953125,12.131584940610947,86.13425307833772,0.0,86.13425307833772,86.13425307833772,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.27263693959615,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
113,0.689994,1.0,1,1275.4407504368348,0.0,490.345720613441,9.610776124023444,76.88620899218755,86.496985116211,1079.5517121336707,0.0,0.0,0.0,1.0,0.0,0.0,19.996632984850145,0.0,151.71091191881368,8782.261557878492,9.610776124023444,9.85894800101479,50.0,12.131584940610933,2302.786376953125,12.131584940610933,86.13425307833762,86.13425307833762,0.0,0.0,5.208333333333333,0.36638087806051367,426.21674281456677,161.98924870566304,297.73844212150834,150.0,1.0,2.2726369395961354,0.0,1848.4809294527704,490.34572061344073,477.96655230669484,3212.4457263471454,21.98871280517949,0.0,476.96430600873106,86.13425307833782,97.0526795248877,41.666666666666664,12.37916830674588,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.261557878492,9.610776124023438,9.85894800101479,50.0,12.131584940610962,2302.786376953125,426.2167428145695,5.208333333333333,0.36638087806051367,161.98924870566304
